id;first_name;last_name;email;locked;password
1;Zackary;Kohler;Nadia.Littel@yahoo.com;false;Plain programming
2;Pearline;Zieme;Verner.Predovic@gmail.com;false;Spain
3;Randall;Ondricka;Shaylee_Rippin@hotmail.com;true;Fresh magnetic
4;Bobbie;Crona;Dylan.Murphy13@gmail.com;false;SoapX
5;Howard;Miller;Rafaela_Grant@yahoo.com;false;payment Gorgeous wir
6;Cedrick;Homenick;Dayton66@hotmail.com;false;reinvent Wooden
7;Noah;Hartmann;Ava_Pollich@hotmail.com;true;maroon
8;Keyshawn;Kuhn;Christina.Keebler97@hotmail.com;false;Island
9;Flavio;Steuber;Miracle54@hotmail.com;true;Stravenue Shoes
10;Lesley;Goyette;Ruthe_Harvey18@yahoo.com;true;Savings Paradigm
