id;name;value;system_property;property_type;optional;description;default_prop;user_id
1;resolution;1920x1080;true;1;true;Image Resolution, optional, defaults to devices capability;1;-1
2;storage;aws;true;1;false;Storage type eg. s3,dropBox,gdrive etc, Mandatory;1;-1
3;orientation;any;true;1;true;Orientation of screen eg. landscape or portrait, optional. defaults to landscape;1;-1
4;platform;android;true;1;true;Default platform eg. Android/iOS/both;1;-1
5;platformPercentage;{android:60,iOS:40};true;1;true;Default platform eg. Number of object upload required in %;1;-1
6;autoFocus;on;true;1;true;Camera Autofocus;1;-1
7;flash;auto;true;1;true;Camera Flash options;1;-1
8;focusDepth;0;true;1;true;Will work if autofocus is off;1;-1
9;ratio;0;true;1;true;possible ratios supported by the camera that can be retieved from RNCamera library (only Android);1;-1
10;type;back;true;1;true;Front or back camera;1;-1
11;whiteBalance;auto;true;1;true;and for IOS we can specify custom temperature, tint and rgb offset values {temperature: 4000, tint: -10.0, redGainOffset: 0.0, greenGainOffset: 0.0, blueGainOffset: 0.0};1;-1
12;exposure;-1;true;1;true;Front or back camera;1;-1
13;zoom;0;true;1;true;zoom level;1;-1
14;videoQuality;1280x720;true;1;true;video quality;1;-1
15;accessKey;AKIART6S2XPD6CH4Y23I;false;1;true;AWS Access key;1;-1
16;accessSecret;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;false;1;true;AWS access secret;1;-1
17;region;ap-south-1;false;1;true;AWS S3 bucket region;1;-1
18;bucketName;objects-upload;false;1;true;AWS S3 bucket name;1;-1
19;captureAudio;false;false;1;true;Enable audio for video projects;1;-1
20;fileName;test;false;1;true;Filename;1;-1
21;phoneModel;Samsung;false;1;true;Phone Model;1;-1
22;videoDuration;10:00;false;1;true;Vdieo Duration;1;-1
