id;name;value;property_type;optional;description;default_prop;user_id
1;resolution;1920x1080;1;true;Image Resolution, optional, defaults to devices capability;1;-1
2;storage;aws;1;false;Storage type eg. s3,dropBox,gdrive etc, Mandatory;1;-1
3;orientation;any;1;true;Orientation of screen eg. landscape or portrait, optional. defaults to landscape;1;-1
4;autoFocus;on;1;true;Camera Autofocus;1;-1
5;flash;auto;1;true;Camera Flash options;1;-1
6;focusDepth;0;1;true;Will work if autofocus is off;1;-1
7;ratio;0;1;true;possible ratios supported by the camera that can be retieved from RNCamera library (only Android);1;-1
8;type;back;1;true;Front or back camera;1;-1
9;whiteBalance;auto;1;true;and for IOS we can specify custom temperature, tint and rgb offset values {temperature: 4000, tint: -10.0, redGainOffset: 0.0, greenGainOffset: 0.0, blueGainOffset: 0.0};1;-1
10;exposure;-1;1;true;Front or back camera;1;-1
11;zoom;0;1;true;zoom level;1;-1
12;videoQuality;1280x720;1;true;video quality;1;-1
13;accessKey;AKIART6S2XPD6CH4Y23I;1;true;AWS Access key;1;-1
14;accessSecret;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;1;true;AWS access secret;1;-1
15;region;ap-south-1;1;true;AWS S3 bucket region;1;-1
16;bucketName;objects-upload;1;true;AWS S3 bucket name;1;-1
17;captureAudio;false;1;true;Enable audio for video projects;1;-1
18;fileName;test;1;true;Filename;1;-1
19;videoDuration;10:00;1;true;Video Duration;1;-1
20;os;android;1;true;Operating System;1;-1
21;osVersion;12;1;true;Operation System Version;1;-1
22;osPercentage;{android:60,iOS:40};1;true;Default platform eg. Number of object upload required in %;1;-1
23;phoneModel;Samsung;1;true;Samsung;1;-1
24;fileSize;100KB;1;true;File Size;1;-1
25;imageFormat;jpeg;1;true;Image Format;1;-1
26;videoContainerFormat;mp4;1;true;Video Container Format;1;-1
27;videoCompressionFormat;h264;1;true;Video Compression Format;1;-1
28;videoFps;30;1;true;Video FPS;1;-1
29;audioFormat;wav;1;true;Audio Format;1;-1
30;audioSamplingRate;44100;1;true;Audio Sampling Rate;1;-1
31;audioBitsPerSample;16;1;true;Audio Bits Per Sample;1;-1
32;audioChannels;1;1;true;Audio Channels;1;-1
33;numberOfParticipants;128kbps;1;true;Number of Participants;1;-1
34;videoBitRate;5000kbps;1;true;Vdieo Duration;1;-1
35;audioDuration;10:00;1;true;Audio Bits Per Sample;1;-1
