id;first_name;last_name;email;password;login;organisation_id;customer_id;vendor_id;authority_id
-1;Super;Admin;admin@ainnotate.com;admin;admin;;;;1
1;Hashmat;Nishar;hashmat@scrubs.com;12345678;hashmat;1;;;2
2;Deepti;Pamela;deepti@alss.com;12345678;deepti;2;;;2
3;Vidhut;Gajraj;vidhut@langford.com;12345678;vidhut;3;;;2
4;Pratik;Khanderia;pratik@zestbook.com;12345678;pratik;4;;;2
5;Devnath;Suthar;devnath@travis.com;12345678;devnath;5;;;2
6;Gupil;Nagedwaran;gupil@all.com;12345678;gupil;6;;;2
7;Arav;Sitha;arav@wakeup.com;12345678;arav;7;;;2
8;Parindra;Sudhakar;parindra@the.com;12345678;parindra;8;;;2
9;Madhulika;Shafiqul;madhulika@wooey.com;12345678;madhulika;9;;;2
10;Ishwar;Vichur;ishwar@scribedot.com;12345678;ishwar;10;;;2
11;Kumkum;Palia;kumkum@a.com;12345678;kumkum;11;;;2
12;Shyamali;Narsi;shyamali@blokeycrazy.com;12345678;shyamali;12;;;2
13;Nirvan;Prafulla;nirvan@smartasset.com;12345678;nirvan;13;;;2
14;Ram;Vivek;ram@sensational.com;12345678;ram;14;;;2
15;Ravinandan;Kanwar;ravinandan@my.com;12345678;ravinandan;15;;;2
16;Yuvraj;Vijanyendra;yuvraj@bridges.com;12345678;yuvraj;16;;;2
17;Tapani;Parthasarathy;tapani@smartphone.com;12345678;tapani;17;;;2
18;Shorashi;Shreekant;shorashi@koolitop.com;12345678;shorashi;18;;;2
19;Magana;Rukma;magana@adrenvish.com;12345678;magana;19;;;2
20;Gursharan;Virinchi;gursharan@allsourcedata.com;12345678;gursharan;20;;;2
